Player_ID,Nationality,Year,Game,Total_Year,Total_Overall
Mithy,Spain ,2013,League of Legends,121362.21,123462.21
Rekkles,Sweden ,2013,League of Legends,111627.4,111627.4
Ryu,Korea,2013,League of Legends,136742.36,136742.36
MaFa,Korea,2013,League of Legends,35808.93,35808.93
dexter,Germany ,2013,League of Legends,18000,18000
inSec,Korea,2013,League of Legends,124944.48,124944.48
Conan,China,2013,League of Legends,46741.97,46741.97
Shook,Netherlands ,2013,League of Legends,37481.22,37481.22
Mazzerin,Lithuania ,2013,League of Legends,14378.64,14378.64
Alunir,Lithuania ,2013,League of Legends,14063.88,14063.88
Nbs,Lithuania ,2013,League of Legends,13981.88,14046.88
DeadlyBrother,Lithuania ,2013,League of Legends,14023.08,14023.08
Benny,United States,2013,League of Legends,17576.67,17576.67
BloodWater,Bulgaria ,2013,League of Legends,16263.34,16263.34
Xmithie,Philippines,2013,League of Legends,95345,95345
Zuna,United States,2013,League of Legends,16703.34,81517.14
PawN,Korea,2014,League of Legends,405041.6,405041.6
Looper,Korea,2014,League of Legends,346307.48,346307.48
DanDy,Korea,2014,League of Legends,279750.19,279750.19
imp,Korea,2014,League of Legends,297719.56,297719.56
Mata,Korea,2014,League of Legends,382369.54,382369.54
ClearLove,China,2014,League of Legends,356843.25,356843.25
Koro1,China,2014,League of Legends,245956.44,245956.44
Fzzf,China,2014,League of Legends,157148.86,157148.86
NaMei,China,2014,League of Legends,141938.87,141938.87
U,China,2014,League of Legends,107432.88,107432.88
Apdo,Korea,2014,League of Legends,81616.5,81616.5
inSec,Korea,2014,League of Legends,124944.48,124944.48
Uzi,China,2014,League of Legends,240632.74,240632.74
dade,Korea,2014,League of Legends,118986.53,118986.53
Corn,China,2014,League of Legends,72818.08,72818.08
Deft,Korea,2014,League of Legends,268446.56,268446.56
Spirit,Korea,2014,League of Legends,91148.26,91148.26
Acorn,Korea,2014,League of Legends,109619.63,109619.63
Zero,Korea,2014,League of Legends,132052.26,132052.26
Cola,China,2014,League of Legends,64296.04,64296.04
Heart,Korea,2014,League of Legends,75509.93,75509.93
Jay,Taiwan,2014,League of Legends,73551.6,73551.6
Morning,Taiwan,2014,League of Legends,72301.6,72301.6
bebe,Taiwan,2014,League of Legends,283170.35,283170.35
Achie,Taiwan,2014,League of Legends,63795.03,63795.03
Gogoing,China,2014,League of Legends,113570.08,113570.08
san,China,2014,League of Legends,108594.22,108594.22
Faker,Korea,2014,League of Legends,912406.26,912406.26
LoveLing,China,2014,League of Legends,110071.9,110071.9
SunnGoo,China,2014,League of Legends,47179.24,47179.24
Cool,China,2014,League of Legends,109844.36,109844.36
Sneaky,United States ,2014,League of Legends,136640,136640
Meteos,United States ,2014,League of Legends,126176.67,126176.67
Balls,United States ,2014,League of Legends,98863.33,98863.33
Hai,United States ,2014,League of Legends,98430,98430
LemonNation,United States ,2014,League of Legends,97590,97590
DinTer,Taiwan,2014,League of Legends,58858.79,58858.79
westdoor,Taiwan,2014,League of Legends,111054.79,111054.79
GreenTea,Taiwan,2014,League of Legends,64280.29,64280.29
Prydz,Taiwan,2014,League of Legends,44108.76,44108.76
Naz,Taiwan,2014,League of Legends,34024.48,34024.48
Piglet,Korea,2014,League of Legends,264929.15,264929.15
PoohManDu,Korea,2014,League of Legends,256771.39,256771.39
Lustboy,Korea,2014,League of Legends,130020.33,130020.33
KaKAO,Korea,2014,League of Legends,82049.09,82049.09
Bengi,Korea,2014,League of Legends,810683,810683
Impact,Korea,2014,League of Legends,313021.84,313021.84
Dyrus,United States ,2014,League of Legends,148642.78,148642.78
Bjergsen,Denmark,2014,League of Legends,140811.3,140811.3
WildTurtle,Canada,2014,League of Legends,132082.8,132082.8
GarnetDevil,Taiwan,2014,League of Legends,38786.38,46215.22
Rekkles,Sweden,2014,League of Legends,111627.4,111627.4
Winds,Taiwan,2014,League of Legends,52939.79,52939.79
GorillA,Korea,2014,League of Legends,211210.22,211210.22
Save,Korea,2014,League of Legends,38727.16,38727.16
Ggoong,Korea,2014,League of Legends,36594.83,36594.83
Zefa,Korea,2014,League of Legends,31872.13,31872.13
sOAZ,France,2014,League of Legends,171155.38,171155.38
YellOwStaR,France,2014,League of Legends,167221.97,167608.11
xPeke,Spain,2014,League of Legends,166127.4,166127.4
Cyanide,Finland ,2014,League of Legends,115902.1,115902.1
watch,Korea,2014,League of Legends,100012.32,111458.7
Cloud,China,2014,League of Legends,28500.06,28500.06
Amazing,Germany ,2014,League of Legends,95592.79,95592.79
Mlxg,China,2014,League of Legends,181432.16,181432.16
wuxx,China,2014,League of Legends,92312.97,92312.97
LeY,China,2014,League of Legends,84240.96,84240.96
Sask,China,2014,League of Legends,52849.81,52849.81
Skye,China,2014,League of Legends,33185.55,33185.55
Zzitai,China,2014,League of Legends,114371.08,114371.08
kid,China,2014,League of Legends,111239.74,111239.74
illuSioN,China,2014,League of Legends,75014.14,75014.14
Kitties,China,2014,League of Legends,58729.11,58729.11
Arrow,Korea,2014,League of Legends,72605.09,72605.09
Wickd,Denmark ,2014,League of Legends,95908.88,95908.88
Froggen,Denmark ,2014,League of Legends,81923.75,81923.75
Nyph,Germany ,2014,League of Legends,47169.22,47169.22
Shook,Netherlands ,2014,League of Legends,37481.22,37481.22
Odoamne,Romania ,2014,League of Legends,122879.3,122879.3
Febiven,Netherlands ,2014,League of Legends,90030.18,90030.18
Hj?rnan,Sweden,2014,League of Legends,35973.09,35973.09
Tabzz,Netherlands ,2014,League of Legends,46008.01,46008.01
Voidle,Estonia ,2014,League of Legends,42133.12,42133.12
Ryu,Korea,2014,League of Legends,136742.36,136742.36
Duke,Korea,2014,League of Legends,450210.43,450210.43
Score,Korea,2014,League of Legends,93165.14,93165.14
MaFa,Korea,2014,League of Legends,35808.93,35808.93
GodLike,China,2014,League of Legends,82589.17,82589.17
Mor,China,2014,League of Legends,52986.39,52986.39
Vasilii,China,2014,League of Legends,27563.47,27563.47
NoName,China,2014,League of Legends,23650.71,23650.71
XiaoWeiXiao,China,2014,League of Legends,22689.1,22689.1
Conan,China,2014,League of Legends,46741.97,46741.97
ssumday,Korea,2014,League of Legends,79375.31,79375.31
Rookie,Korea,2014,League of Legends,59838.84,59838.84
Hachani,Korea,2014,League of Legends,35711.91,35711.91
GoDJJ,Taiwan,2014,League of Legends,35941.28,35941.28
AN,Taiwan,2014,League of Legends,85250.64,85250.64
Naru,Turkey ,2014,League of Legends,35152.6,35152.6
Crystal,Turkey,2014,League of Legends,23380.79,23380.79
Faker,Korea,2015,League of Legends,912406.26,912406.26
Easyhoon,Korea,2015,League of Legends,234522.34,234522.34
Wolf,Korea,2015,League of Legends,650328.41,650328.41
MaRin,Korea,2015,League of Legends,213498.02,213498.02
Bengi,Korea,2015,League of Legends,810683,810683
Bang,Korea,2015,League of Legends,645827.17,645827.17
ClearLove,China,2015,League of Legends,356843.25,356843.25
Deft,Korea,2015,League of Legends,268446.56,268446.56
Koro1,China,2015,League of Legends,245956.44,245956.44
Meiko,China,2015,League of Legends,193599.42,193599.42
kurO,Korea,2015,League of Legends,190134.83,190134.83
PraY,Korea,2015,League of Legends,254965.94,254965.94
Smeb,Korea,2015,League of Legends,209099.03,209099.03
GorillA,Korea,2015,League of Legends,211210.22,211210.22
HoJin,Korea,2015,League of Legends,70895.14,70895.14
PawN,Korea,2015,League of Legends,405041.6,405041.6
Febiven,Netherlands,2015,League of Legends,90030.18,90030.18
YellOwStaR,France ,2015,League of Legends,167221.97,167608.11
Huni,Korea,2015,League of Legends,75587.28,75587.28
Reignover,Korea,2015,League of Legends,66673.16,66673.16
sOAZ,France,2015,League of Legends,171155.38,171155.38
Mithy,Spain,2015,League of Legends,121362.21,123462.21
Zven,Denmark,2015,League of Legends,98750,98750
Amazing,Germany ,2015,League of Legends,95592.79,95592.79
xPeke,Spain,2015,League of Legends,166127.4,166127.4
Bjergsen,Denmark,2015,League of Legends,140811.3,140811.3
Dyrus,United States,2015,League of Legends,148642.78,148642.78
WildTurtle,Canada,2015,League of Legends,132082.8,132082.8
Lustboy,Korea,2015,League of Legends,130020.33,130020.33
Santorin,Denmark,2015,League of Legends,56195.56,56195.56
Rekkles,Sweden ,2015,League of Legends,111627.4,111627.4
westdoor,Taiwan,2015,League of Legends,111054.79,111054.79
MrAlbis,Taiwan,2015,League of Legends,92541.49,92541.49
AN,Taiwan,2015,League of Legends,85250.64,85250.64
Ziv,Taiwan,2015,League of Legends,68963.5,68963.5
Mountain,Taiwan,2015,League of Legends,69513.09,69513.09
Piccaboo,Korea,2015,League of Legends,41218.67,41218.67
imp,Korea,2015,League of Legends,297719.56,297719.56
Acorn,Korea,2015,League of Legends,109619.63,109619.63
Flame,Korea,2015,League of Legends,79362.85,79362.85
Pyl,China,2015,League of Legends,57735.9,57735.9
GODV,China,2015,League of Legends,54293.75,54293.75
TBQ,China,2015,League of Legends,52940.3,52940.3
ssumday,Korea,2015,League of Legends,79375.31,79375.31
Zzitai,China,2015,League of Legends,114371.08,114371.08
KaKAO,Korea,2015,League of Legends,82049.09,82049.09
Rookie,Korea,2015,League of Legends,59838.84,59838.84
Kitties,China,2015,League of Legends,58729.11,58729.11
Mlxg,China,2015,League of Legends,181432.16,181432.16
wuxx,China,2015,League of Legends,92312.97,92312.97
LeY,China,2015,League of Legends,84240.96,84240.96
kid,China,2015,League of Legends,111239.74,111239.74
xiaohu,China,2015,League of Legends,153814.56,153814.56
letme,China,2015,League of Legends,72750.76,72750.76
SwordArt,Taiwan,2015,League of Legends,120925.25,120925.25
Maple,Taiwan,2015,League of Legends,117458.21,117458.21
NL,Taiwan,2015,League of Legends,94664.75,94664.75
Steak,Taiwan,2015,League of Legends,54770.5,54770.5
Karsa,Taiwan,2015,League of Legends,94823.57,94823.57
Score,Korea,2015,League of Legends,93165.14,93165.14
Arrow,Korea,2015,League of Legends,72605.09,72605.09
BaeMe,Korea,2015,League of Legends,77979.35,77979.35
Nagne,Korea,2015,League of Legends,59847.63,59847.63
T0M,Korea,2015,League of Legends,24176.55,24176.55
Mor,China,2015,League of Legends,52986.39,52986.39
Swift,Korea,2015,League of Legends,44782.41,44782.41
HappyY,China,2015,League of Legends,42592.39,42592.39
doinb,Korea,2015,League of Legends,38403.93,38403.93
V,China,2015,League of Legends,34124.56,34124.56
U,China,2015,League of Legends,107432.88,107432.88
AmazingJ,Hong Kong,2015,League of Legends,77459.42,77459.42
GreenTea,Taiwan,2015,League of Legends,64280.29,64280.29
xiye,China,2015,League of Legends,91733.39,91733.39
Mystic,Korea,2015,League of Legends,84190.18,84190.18
Aluka,China,2015,League of Legends,57560.65,57560.65
JieZou,China,2015,League of Legends,33713.75,33713.75
GimGoon,Korea,2015,League of Legends,25229.68,25229.68
Romantic,China,2015,League of Legends,19412.79,19412.79
Xmithie,Philippines ,2015,League of Legends,95345,95345
Darshan,United States ,2015,League of Legends,92485,92485
Aphromoo,United States ,2015,League of Legends,89253.57,89253.57
Doublelift,United States ,2015,League of Legends,93815.43,93815.43
Steeelbackkk,France,2015,League of Legends,18439.63,18439.63
Pobelter,United States ,2015,League of Legends,31200,31200
Flandre,China,2015,League of Legends,39896.58,39896.58
Ella,Korea,2015,League of Legends,28345.37,28345.37
Fan,China,2015,League of Legends,17823.04,17823.04
Unicon,China,2015,League of Legends,17301.55,17301.55
GoDJJ,Taiwan,2015,League of Legends,35941.28,35941.28
Mouse,China,2015,League of Legends,122899.03,122899.03
Fireloli,China,2015,League of Legends,64055.47,64055.47
Ryu,Korea,2015,League of Legends,136742.36,136742.36
Odoamne,Romania ,2015,League of Legends,122879.3,122879.3
kaSing,United Kingdom ,2015,League of Legends,18541.62,18541.62
Sneaky,United States ,2015,League of Legends,136640,136640
Balls,United States ,2015,League of Legends,98863.33,98863.33
Hai,United States ,2015,League of Legends,98430,98430
Kramer,Korea,2015,League of Legends,19472.62,19472.62
LemonNation,United States ,2015,League of Legends,97590,97590
Hj?rnan,Sweden ,2015,League of Legends,35973.09,35973.09
Duke,Korea,2016,League of Legends,450210.43,450210.43
Wolf,Korea,2016,League of Legends,650328.41,650328.41
Bang,Korea,2016,League of Legends,645827.17,645827.17
Faker,Korea,2016,League of Legends,912406.26,912406.26
Blank,Korea,2016,League of Legends,432056.66,432056.66
Bengi,Korea,2016,League of Legends,810683,810683
Ambition,Korea,2016,League of Legends,220797.62,220797.62
Crown,Korea,2016,League of Legends,150351.23,150351.23
CuVee,Korea,2016,League of Legends,147193.73,147193.73
JJ,Korea,2016,League of Legends,146388.76,146388.76
Ruler,Korea,2016,League of Legends,143850.11,143850.11
Wraith,Korea,2016,League of Legends,142880.25,142880.25
Smeb,Korea,2016,League of Legends,209099.03,209099.03
PraY,Korea,2016,League of Legends,254965.94,254965.94
GorillA,Korea,2016,League of Legends,211210.22,211210.22
Peanut,Korea,2016,League of Legends,132465.26,132465.26
Mata,Korea,2016,League of Legends,382369.54,382369.54
Looper,Korea,2016,League of Legends,346307.48,346307.48
Mlxg,China ,2016,League of Legends,181432.16,181432.16
xiaohu,China ,2016,League of Legends,153814.56,153814.56
kurO,Korea,2016,League of Legends,190134.83,190134.83
PawN,Korea,2016,League of Legends,405041.6,405041.6
ClearLove,China ,2016,League of Legends,356843.25,356843.25
Deft,Korea,2016,League of Legends,268446.56,268446.56
Meiko,China ,2016,League of Legends,193599.42,193599.42
Mouse,China ,2016,League of Legends,122899.03,122899.03
Scout,Korea,2016,League of Legends,98057.75,98057.75
Uzi,China ,2016,League of Legends,240632.74,240632.74
Ryu,Korea,2016,League of Legends,136742.36,136742.36
Odoamne,Romania ,2016,League of Legends,122879.3,122879.3
Jankos,Poland ,2016,League of Legends,95847.72,95847.72
VandeR,Poland ,2016,League of Legends,92489.72,92489.72
Forg1ven,Greece ,2016,League of Legends,91544.7,91544.7
Koro1,China ,2016,League of Legends,245956.44,245956.44
Athena,Korea,2016,League of Legends,75966.84,75966.84
Xmithie,Philippines ,2016,League of Legends,95345,95345
Darshan,United States ,2016,League of Legends,92485,92485
Aphromoo,United States ,2016,League of Legends,89253.57,89253.57
HuHi,France,2016,League of Legends,62832.19,62832.19
Stixxayy,United States ,2016,League of Legends,61376.07,61376.07
Kira,Ukraine,2016,League of Legends,68029.75,68029.75
Smurf,Russia,2016,League of Legends,68029.75,68029.75
Likkrit,Russia,2016,League of Legends,62087.69,62087.69
PvPStejos,Ukraine ,2016,League of Legends,56020.05,56020.05
aMiracle,Ukraine ,2016,League of Legends,55072.78,55072.78
Smoothie,Canada ,2016,League of Legends,59010,59010
BaeMe,Korea,2016,League of Legends,77979.35,77979.35
AmazingJ,Hong Kong ,2016,League of Legends,77459.42,77459.42
Avoidless,Hong Kong ,2016,League of Legends,64078.65,64078.65
Jinjiao,China ,2016,League of Legends,54708.5,54708.5
Road,Korea,2016,League of Legends,51006.54,51006.54
Impact,Korea,2016,League of Legends,313021.84,313021.84
Sneaky,United States ,2016,League of Legends,136640,136640
Meteos,United States ,2016,League of Legends,126176.67,126176.67
jensen,Denmark ,2016,League of Legends,62639.2,62639.2
SwordArt,Taiwan,2016,League of Legends,120925.25,120925.25
Maple,Taiwan,2016,League of Legends,117458.21,117458.21
Karsa,Taiwan,2016,League of Legends,94823.57,94823.57
MMD,Taiwan,2016,League of Legends,75129.64,75129.64
Bjergsen,Denmark ,2016,League of Legends,140811.3,140811.3
Svenskeren,Denmark ,2016,League of Legends,88055.33,88055.33
Hauntzer,United States ,2016,League of Legends,66145,66145
NL,Taiwan,2016,League of Legends,94664.75,94664.75
Doublelift,United States ,2016,League of Legends,93815.43,93815.43
Fireloli,China ,2016,League of Legends,64055.47,64055.47
Biofrost,Canada ,2016,League of Legends,58169.16,58169.16
wuxx,China ,2016,League of Legends,92312.97,92312.97
PerkZ,Croatia ,2016,League of Legends,58594.58,58594.58
Trick,Korea,2016,League of Legends,56481.85,56481.85
inSec,Korea,2016,League of Legends,124944.48,124944.48
LeY,China ,2016,League of Legends,84240.96,84240.96
letme,China ,2016,League of Legends,72750.76,72750.76
Mithy,Spain ,2016,League of Legends,121362.21,123462.21
Zven,Denmark,2016,League of Legends,98750,98750
Zero,Korea,2016,League of Legends,132052.26,132052.26
xiye,China ,2016,League of Legends,91733.39,91733.39
Mystic,Korea,2016,League of Legends,84190.18,84190.18
Condi,China ,2016,League of Legends,64552.36,64552.36
957,China ,2016,League of Legends,62015.97,62015.97
NaMei,China ,2016,League of Legends,141938.87,141938.87
Sask,China ,2016,League of Legends,52849.81,52849.81
westdoor,Taiwan,2016,League of Legends,111054.79,111054.79
MrAlbis,Taiwan,2016,League of Legends,92541.49,92541.49
AN,Taiwan,2016,League of Legends,85250.64,85250.64
Mountain,Taiwan,2016,League of Legends,69513.09,69513.09
Ziv,Taiwan,2016,League of Legends,68963.5,68963.5
Zet,Korea,2016,League of Legends,30951.72,30951.72
Chawy,Singapore ,2016,League of Legends,49217.44,79217.44
Expect,Korea,2016,League of Legends,45472.81,45472.81
Flandre,China ,2016,League of Legends,39896.58,39896.58
Martin,China ,2016,League of Legends,28610.21,28610.21
TANK,Korea,2016,League of Legends,22627.49,22627.49
Kikis,Poland ,2016,League of Legends,57328.79,57328.79
Score,Korea,2016,League of Legends,93165.14,93165.14
Mikyx,Slovenia ,2016,League of Legends,20194.42,20194.42
Trashy,Denmark ,2016,League of Legends,34586.57,34586.57
Sencux,Denmark ,2016,League of Legends,33232.4,33232.4
Wunder,Denmark ,2016,League of Legends,31225.12,31225.12
Kobbe,Denmark ,2016,League of Legends,30491.61,30491.61
micaO,Brazil ,2016,League of Legends,26015.81,26015.81
f0rest,Sweden ,2013,Counter-Strike: Global Offensive,324340.94,515077.57
GeT_RiGhT,Sweden ,2013,Counter-Strike: Global Offensive,328023.36,429904.82
Xizt,Sweden ,2013,Counter-Strike: Global Offensive,325079.07,359770.23
friberg,Sweden ,2013,Counter-Strike: Global Offensive,324945.74,325173.28
Fifflaren,Sweden ,2013,Counter-Strike: Global Offensive,106659.62,123770.59
flusha,Sweden ,2013,Counter-Strike: Global Offensive,397802.28,397802.28
JW,Sweden ,2013,Counter-Strike: Global Offensive,382441.6,382441.6
znajder,Sweden ,2013,Counter-Strike: Global Offensive,77921.66,77921.66
devilwalk,Sweden ,2013,Counter-Strike: Global Offensive,36933.38,36933.38
pronax,Sweden ,2013,Counter-Strike: Global Offensive,222442.57,230684.36
ScreaM,Belgium,2013,Counter-Strike: Global Offensive,172476.1,177473.14
NBK,France ,2013,Counter-Strike: Global Offensive,450053.76,471679.54
SmithZz,France ,2013,Counter-Strike: Global Offensive,248646.78,273429.74
Ex6TenZ,Belgium,2013,Counter-Strike: Global Offensive,88337.18,115459.18
shox,France ,2013,Counter-Strike: Global Offensive,278274.03,295496.9
Dosia,Russia,2013,Counter-Strike: Global Offensive,111758.03,129819.51
ANGE1,Ukraine ,2013,Counter-Strike: Global Offensive,78625.38,89444.3
twist,Sweden ,2013,Counter-Strike: Global Offensive,88855.85,88855.85
xelos,Sweden ,2013,Counter-Strike: Global Offensive,29262.25,29866.34
kennyS,France ,2013,Counter-Strike: Global Offensive,388197.47,391141.71
AdreN,Kazakhstan ,2013,Counter-Strike: Global Offensive,114810.9,132206.19
apEX,France ,2013,Counter-Strike: Global Offensive,388408.15,393179.06
kUcheR,Russia,2013,Counter-Strike: Global Offensive,59514.21,68455.86
markeloff,Ukraine ,2013,Counter-Strike: Global Offensive,74618.57,155142.58
neo,Poland ,2013,Counter-Strike: Global Offensive,464898.49,604369.85
TaZ,Poland ,2013,Counter-Strike: Global Offensive,463098.49,600609.85
Xyp9x,Denmark ,2013,Counter-Strike: Global Offensive,434871.9,436481.8
hiko,United States,2013,Counter-Strike: Global Offensive,138588.43,139608.43
semphis,Canada,2013,Counter-Strike: Global Offensive,57100.06,62940.06
n0thing,United States,2013,Counter-Strike: Global Offensive,188756.42,222353.77
swag,United States,2013,Counter-Strike: Global Offensive,51459.01,58519.01
Pimp,Denmark ,2013,Counter-Strike: Global Offensive,68631.66,69131.66
pashaBiceps,Poland ,2013,Counter-Strike: Global Offensive,458394.7,502744.67
Nico,Denmark ,2013,Counter-Strike: Global Offensive,19729.21,20733.82
seangares,United States,2013,Counter-Strike: Global Offensive,92277.53,99107.53
dupreeh,Denmark ,2013,Counter-Strike: Global Offensive,432472.74,432472.74
Edward,Ukraine ,2013,Counter-Strike: Global Offensive,262916.75,358739.29
Fox,Russia,2013,Counter-Strike: Global Offensive,7136.04,24797.52
KIOSHIMA,France ,2013,Counter-Strike: Global Offensive,283975.49,284216.97
Maniac,Switzerland ,2013,Counter-Strike: Global Offensive,48554.48,49380.17
FeTiSh,Denmark ,2013,Counter-Strike: Global Offensive,25082.91,36128.39
moddii,Sweden ,2013,Counter-Strike: Global Offensive,76517.2,110870.69
gla1ve,Denmark ,2013,Counter-Strike: Global Offensive,266734.08,269296.28
SKYTTEN,Sweden ,2013,Counter-Strike: Global Offensive,15654.31,15654.31
Friis,Denmark ,2013,Counter-Strike: Global Offensive,84226,121891.58
MSL,Denmark ,2013,Counter-Strike: Global Offensive,176374,176471.54
HaRts,France ,2013,Counter-Strike: Global Offensive,8729.21,36697.68
Zeus,Ukraine ,2013,Counter-Strike: Global Offensive,245157.11,338477.71
starix,Ukraine ,2013,Counter-Strike: Global Offensive,39068.57,127710.63
Delpan,Sweden ,2013,Counter-Strike: Global Offensive,7400.93,43807.99
ioRek,France ,2013,Counter-Strike: Global Offensive,6238.4,31255.9
Maikelele,Sweden ,2013,Counter-Strike: Global Offensive,94383.47,94904.94
Happy,France ,2013,Counter-Strike: Global Offensive,420915.14,425631.28
olofmeister,Sweden ,2013,Counter-Strike: Global Offensive,361070.79,361411.61
KRiMZ,Sweden ,2013,Counter-Strike: Global Offensive,364906.67,364906.67
dennis,Sweden ,2013,Counter-Strike: Global Offensive,218595.91,224627.27
dev1ce,Denmark ,2013,Counter-Strike: Global Offensive,429473.21,429570.75
ceh9,Ukraine ,2013,Counter-Strike: Global Offensive,5406.61,84186.37
GuardiaN,Slovakia ,2013,Counter-Strike: Global Offensive,262800.07,267623.63
Nille,Denmark ,2013,Counter-Strike: Global Offensive,5349.43,5755.93
adreN,United States ,2013,Counter-Strike: Global Offensive,72685.36,85113.71
pita,Bosnia and Herzegovina ,2013,Counter-Strike: Global Offensive,17143.36,42311.23
pyth,Sweden ,2013,Counter-Strike: Global Offensive,107587.43,107587.43
KQLY,France ,2013,Counter-Strike: Global Offensive,19311.87,19467.14
Loord,Poland,2013,Counter-Strike: Global Offensive,9449.74,134752.87
LEGIJA,Serbia ,2013,Counter-Strike: Global Offensive,47836.24,48484.05
karrigan,Denmark ,2013,Counter-Strike: Global Offensive,278869.95,309713.67
cype,Sweden ,2013,Counter-Strike: Global Offensive,11924.21,11924.21
AZK,Canada ,2013,Counter-Strike: Global Offensive,23204.24,39620.42
kuben,Poland ,2013,Counter-Strike: Global Offensive,5771.28,128601.41
chrisJ,Netherlands,2013,Counter-Strike: Global Offensive,100156.75,100632.28
trace,Denmark ,2013,Counter-Strike: Global Offensive,4257.07,52818.42
snax,Poland ,2013,Counter-Strike: Global Offensive,449212.05,449212.05
byali,Poland ,2013,Counter-Strike: Global Offensive,452872.49,452872.49
Kirby,Germany ,2013,Counter-Strike: Global Offensive,7457.72,8734.83
seized,Russia,2013,Counter-Strike: Global Offensive,269193.67,270690.16
Skadoodle,United States ,2013,Counter-Strike: Global Offensive,184913.31,184913.31
anger,United States ,2013,Counter-Strike: Global Offensive,22878,30724.67
Spitfire,Sweden ,2013,Counter-Strike: Global Offensive,6417.73,6417.73
Uzzziii,France ,2013,Counter-Strike: Global Offensive,19648.07,23014.51
DaZeD,United States ,2013,Counter-Strike: Global Offensive,33576.04,36676.04
crisby,Germany ,2013,Counter-Strike: Global Offensive,28841.61,31166.48
Hayko,France ,2013,Counter-Strike: Global Offensive,10593.42,10837.14
asmo,Germany ,2013,Counter-Strike: Global Offensive,5051.15,7586.54
stingeR,Norway,2013,Counter-Strike: Global Offensive,4015.46,6376.71
qk-Mantis,Germany ,2013,Counter-Strike: Global Offensive,5957.37,8543.61
tiziaN,Germany ,2013,Counter-Strike: Global Offensive,30389.75,30389.75
Weber,United Kingdom ,2013,Counter-Strike: Global Offensive,12492.79,16137.96
rdl,Sweden ,2013,Counter-Strike: Global Offensive,2941.65,5585.05
Sf,France ,2013,Counter-Strike: Global Offensive,10283.27,10413.76
cENTRYZ,Norway,2013,Counter-Strike: Global Offensive,9216.45,9216.45
kibaken,Russia,2013,Counter-Strike: Global Offensive,15195.37,15344.79
Liddano,Sweden ,2013,Counter-Strike: Global Offensive,2392.76,3308.64
cajunb,Denmark ,2013,Counter-Strike: Global Offensive,285832.53,288625.19
smn,Germany ,2013,Counter-Strike: Global Offensive,3732.15,4169.33
disruptor,Germany ,2013,Counter-Strike: Global Offensive,3008.01,13071.59
Volcano,United States ,2013,Counter-Strike: Global Offensive,3610.54,53927.2
Spiidi,Germany ,2013,Counter-Strike: Global Offensive,89103.74,89103.74
emilio,Sweden ,2013,Counter-Strike: Global Offensive,6987.7,7959.53
som,United Kingdom ,2013,Counter-Strike: Global Offensive,3357.92,3357.92
GeT_RiGhT,Sweden ,2014,Counter-Strike: Global Offensive,328023.36,429904.82
f0rest,Sweden ,2014,Counter-Strike: Global Offensive,324340.94,515077.57
Xizt,Sweden ,2014,Counter-Strike: Global Offensive,325079.07,359770.23
friberg,Sweden ,2014,Counter-Strike: Global Offensive,324945.74,325173.28
neo,Poland ,2014,Counter-Strike: Global Offensive,464898.49,604369.85
TaZ,Poland ,2014,Counter-Strike: Global Offensive,463098.49,600609.85
byali,Poland ,2014,Counter-Strike: Global Offensive,452872.49,452872.49
pashaBiceps,Poland ,2014,Counter-Strike: Global Offensive,458394.7,502744.67
snax,Poland ,2014,Counter-Strike: Global Offensive,449212.05,449212.05
shox,Poland ,2014,Counter-Strike: Global Offensive,278274.03,295496.9
Fifflaren,Sweden ,2014,Counter-Strike: Global Offensive,106659.62,123770.59
Happy,France ,2014,Counter-Strike: Global Offensive,420915.14,425631.28
NBK,France ,2014,Counter-Strike: Global Offensive,450053.76,471679.54
SmithZz,France ,2014,Counter-Strike: Global Offensive,248646.78,273429.74
KRiMZ,Sweden ,2014,Counter-Strike: Global Offensive,364906.67,364906.67
olofmeister,Sweden ,2014,Counter-Strike: Global Offensive,361070.79,361411.61
pronax,Sweden ,2014,Counter-Strike: Global Offensive,222442.57,230684.36
flusha,Sweden ,2014,Counter-Strike: Global Offensive,397802.28,397802.28
JW,Sweden ,2014,Counter-Strike: Global Offensive,382441.6,382441.6
KIOSHIMA,France ,2014,Counter-Strike: Global Offensive,283975.49,284216.97
seized,Russia,2014,Counter-Strike: Global Offensive,269193.67,270690.16
GuardiaN,Slovakia ,2014,Counter-Strike: Global Offensive,262800.07,267623.63
Zeus,Ukraine ,2014,Counter-Strike: Global Offensive,245157.11,338477.71
starix,Ukraine ,2014,Counter-Strike: Global Offensive,39068.57,127710.63
Xyp9x,Denmark ,2014,Counter-Strike: Global Offensive,434871.9,436481.8
dupreeh,Denmark ,2014,Counter-Strike: Global Offensive,432472.74,432472.74
FeTiSh,Denmark ,2014,Counter-Strike: Global Offensive,25082.91,36128.39
Edward,Ukraine ,2014,Counter-Strike: Global Offensive,262916.75,358739.29
dev1ce,Denmark ,2014,Counter-Strike: Global Offensive,429473.21,429570.75
apEX,France ,2014,Counter-Strike: Global Offensive,388408.15,393179.06
AZK,Canada,2014,Counter-Strike: Global Offensive,23204.24,39620.42
Skadoodle,United States ,2014,Counter-Strike: Global Offensive,184913.31,184913.31
Maniac,Switzerland ,2014,Counter-Strike: Global Offensive,48554.48,49380.17
KQLY,France ,2014,Counter-Strike: Global Offensive,19311.87,19467.14
DaZeD,United States ,2014,Counter-Strike: Global Offensive,33576.04,36676.04
